WorkoutId,GenreIdList
874,19
874, 22
830
830
879,24
875,20
853,20
777,19
909
909
883,20
887,22
887, 23
893,20
892,19
892, 20
934
934
854,19
854, 20
884,19
884, 20
888,22
891
891
894,20
935
935
889,23
903,21
903, 22
952
952
899,104
905,20
898,20
900,19
900, 20
937,19
937, 21
937, 22
969
969
918,19
918, 21
904,20
826,20
897,21
897, 23
906,25
915,19
949
949
886,23
895,22
907,20
921,22
921, 23
816
816
813,22
870,21
970
970
916,23
917,19
917, 22
945,104
922,20
923,19
923, 104
999
999
924,22
924, 23
925,22
936,20
942,20
852,21
927,19
927, 20
1000
1000
926,20
928,20
939,22
938,22
1003
1003
896,24
941,19
941, 20
940,21
959,20
958,19
1023
1023
960,23
1001
1001
961,20
962,20
963,19
965,19
965, 20
965, 21
965, 22
966,21
964,20
967,23
851,22
994,19
994, 20
989,21
990,22
1028
1028
984,19
984, 104
991,20
985
985
992
992
986,21
993,22
988,20
987,20
1025
1025
983,19
983, 22
1034
1034
981,20
980,19
979,20
978,20
1007,23
976,20
975,22
975, 23
1024
1024
944,20
944, 23
943,22
929,19
1008,20
1013,21
996,20
996, 22
1044
1044
1011,19
1011, 22
1010,20
1010, 23
1012,23
1009,21
1015
1015
1016,19
1016, 22
995,23
1035,19
1036,20
1017,20
1017, 23
1014
1014
1037,22
1030
1030
1019,20
1020,23
1021,23
1038,25
1039,19
1040,20
1045,22
1041,20
1048,22
1048, 23
1043,22
1043, 23
1047,24
1089
1089
1018
1018
1042,19
1046,21
1049,20
1049, 23
1029
1029
1064,104
1053,20
1063,19
1063, 21
977,19
977, 20
1051,21
1051, 23
1054
1054
1052,20
1073
1073
1110
1110
1067,20
1065,19
1065, 20
1055,19
873,22
1068,19
1068, 20
1072,19
1072, 20
1069,21
1071,20
1085
1085
1066,23
1129
1129
1086,20
1090,19
1091,19
1091, 21
1076,19
1093
1093
1050,20
1094,20
1094, 23
1105,19
1105, 22
1074,22
1173
1173
1107,20
1107, 23
1104,20
1106,20
1119
1119
1103,21
1095,19
1083,19
1102,20
1108,104
1121,20
1070
1070
1200
1200
1122,22
1123,20
1124,19
1124, 22
1120,19
1120, 22
1118,21
1109,19
1125,19
1126,19
1126, 20
1133,22
1136,20
1132,25
1097,22
1131,21
1135,21
1134
1134
1201
1201
1127,20
1138,19
1138, 22
1138, 23
1137,19
1137, 20
1139,19
1141,20
1143,23
1149
1149
1146,22
1140,20
1140, 25
1142,19
1202
1202
1150,20
1154,19
1154, 20
1156,20
1156, 22
1152,19
1152, 21
1155,19
1158,20
1166,21
1159,22
1203
1203
1144
1144
1160,20
1161,19
1161, 23
1181,23
1180,22
1145,21
1164,20
1171,19
1210,20
1210, 21
1157,19
1082
1082
890,20
1153,20
1182,20
849,20
1191,19
1191, 22
1183,20
1184,19
1184, 22
1204
1204
1174,19
1174, 20
1188,20
1280
1280
1172
1172
1231,19
1231, 20
1231, 23
1197,19
1197, 22
1195,21
1189,24
1185,20
1193,22
1193, 23
901,20
1282
1282
1187,19
1187, 20
1165
1165
1212,22
1186,22
1211,20
1223,19
1214,20
1222,21
1222, 23
1222, 104
1218
1218
1216,20
1217,20
1196
1196
1283
1283
1250,20
1250, 22
1215,19
1215, 23
1199,19
1194,19
1225,20
1270,19
1270, 23
1284
1284
1221,23
1228,23
1228, 104
1229
1229
1230,20
1226,20
1227,24
1245,19
1245, 21
1251,19
1251, 21
1251, 22
1162,23
1255,19
1255, 104
1247
1247
1254,19
1254, 104
1333
1333
1253,19
1267,22
1256,19
1256, 22
1192,20
1252,19
1252, 21
1257,21
1264,20
1268,19
1268, 22
1271,19
1271, 20
1276,20
1275
1275
1274,20
1334
1334
1273,20
1272,19
1272, 20
1258,20
1258, 23
1281,19
1281, 104
1285,22
1285, 23
1301,20
1301, 104
1286,19
1295
1295
1292,19
1292, 22
1307,21
1307, 104
1287,20
1335
1335
1294,19
1294, 21
1293,20
1326,20
1289,20
1289, 23
1312,19
1312, 23
1320,19
1320, 20
1303,22
1304,24
1306
1306
1305,19
1336
1336
1325,23
1325, 104
1308,20
1290,19
1290, 20
1288,19
1288, 104
1328,20
1337,22
1309
1309
1426
1426
1327,20
1302,20
1332
1332
1340,19
1331,19
1331, 104
1330,23
1396,20
1338,21
1338, 22
1342
1342
1427
1427
1348
1348
1341,22
1341, 23
1324,20
1329,19
1329, 20
1339,20
1365,25
1397,23
1345,23
1347,22
1352
1352
1480
1480
1351,23
1349,21
1350,19
1350, 21
1364,19
1364, 20
1357,19
1357, 23
1357, 104
1358,21
1346,19
1346, 22
1398,20
602,19
602, 20
718,23
1375,20
1374,21
1372
1372
1373,21
1373, 22
1291,22
1360,23
1277,21
1277, 22
1279,20
1410,22
1300,19
1300, 22
1299,20
1311,21
1354,19
1354, 21
1353,21
1343,19
1297,20
1412,20
1401,19
1401, 21
1377,19
1377, 20
1363
1363
1444,20
1417,24
1459,22
1458,20
1381,24
1457
1457
1220,19
1382,22
1355,20
1411,19
1411, 23
1416,21
1378,23
1383
1383
1493
1493
1413,21
1380,20
1393,22
1393, 23
1321,19
1344,19
1246,22
1484,19
1484, 104
1395,20
1464,21
1310,23
1443,20
1494
1494
1469,19
1469, 21
1425,19
1425, 21
1424,23
1420,20
1421
1421
1423,19
1423, 22
1359,21
1359, 22
1392,19
1394,20
1298
1298
1449,20
1399,20
1516
1516
1482,19
1482, 21
1356,20
1356, 23
1452
1452
1483,19
1483, 22
1483, 23
1445,19
1462,24
1485,23
1453,23
1219,19
1467,21
1446,20
1471,19
1471, 20
1471, 22
1419,19
1448,19
1448, 23
1376,20
1495
1495
1473,20
1415,20
1544
1544
1492,19
1492, 23
1474,20
1474, 23
1465,20
1475,19
1515,24
1454,19
1491,19
1491, 23
1461,20
1476,19
1476, 22
1479,19
1428
1428
1472
1472
1504,19
1504, 22
1379,20
1477,19
1477, 20
1486,22
1487
1487
1488,21
1489,22
1468,19
1468, 22
1497,23
1466,19
1498,20
1499,21
1550
1550
1503,20
1501
1501
1514
1514
1502,20
1500,20
1500, 25
1505,19
1505, 20
1510,19
1507,19
1507, 20
1517,21
1506,21
1506, 23
1518,20
1524,19
1513,24
1509
1509
1511,19
1511, 20
1508,21
1562
1562
1470,20
1512,21
1532,19
1532, 20
1451,22
1451, 104
1522,20
1529
1529
1523,19
1523, 20
1530,20
1531,19
1566,24
1616
1616
1450,19
1525,22
1414
1414
1542,20
1527,19
1526,20
1447
1447
1519,22
1519, 104
1534,104
1533
1533
1535,23
1536,20
1528
1528
1538
1538
1613
1613
1539
1539
1537,19
1537, 20
1541,21
1478,20
1581
1581
1567,19
1567, 22
1567, 23
1540,20
1568,20
1555,19
1555, 23
1556,22
1557,19
1583
1583
1558,19
1558, 20
1565,24
1582
1582
1559,19
1559, 20
1560
1560
1545,22
1545, 23
1571
1571
1547
1547
1628,19
1628, 20
1574,19
1569,22
1584,20
1564,21
1585,24
1586,19
1586, 21
1587,20
1644
1644
1588,19
1588, 23
1561
1561
1572,22
1573,19
1546,23
1591,19
1591, 22
1570,19
1570, 20
