WorkoutId,MaxTargets,MaxTriangles,MaxScore
1121,1464,414,,417
1122,540,201,,168
1123,2693,1117,,874
1124,3589,774,,950
1120,1457,269,,372
1118,4749,758,,1177
1109,1103,385,,336
1125,1290,613,,442
1126,2863,984,,868
1133,830,270,,247
1136,4985,1003,,1298
1132,869,84,,199
1097,7498,2249,,2174
1131,874,310,,268
1135,2606,708,,734
1127,1546,711,,522
1138,3580,1309,,1109
1137,1652,825,,578
1139,3392,636,,869
1141,1273,219,,320
1143,604,278,,204
1146,3882,807,,1018
1140,1827,361,,474
1142,516,265,,183
1150,2547,556,,676
1154,3333,622,,853
1156,1450,364,,399
1152,1960,740,,614
1155,1511,782,,537
1158,609,236,,193
1166,1052,391,,328
1159,3788,225,,825
1160,3872,786,,1010
1161,2914,1199,,942
1181,2690,723,,755
1180,1041,212,,272
1145,2760,768,,782
1164,2720,475,,686
1171,617,195,,182
1210,960,326,,290
1157,1119,243,,297
890,2328,535,,626
1153,2967,548,,758
1182,1847,661,,568
849,3461,872,,954
1191,3690,882,,1003
1183,999,180,,254
1184,467,342,,196
1174,1643,501,,479
1188,1914,523,,540
1231,1723,340,,447
1197,2369,672,,675
1195,1642,706,,540
1189,2884,991,,874
1185,1277,128,,294
1193,2439,670,,689
901,3820,485,,910
1187,528,177,,159
1212,1778,574,,528
1186,945,216,,254
1211,1891,527,,536
1223,1749,756,,577
1214,3242,592,,826
1222,2768,704,,764
1218,490,101,,128
1216,970,271,,275
1217,1216,149,,288
1250,2540,875,,770
1215,1519,390,,421
1199,2655,909,,804
1194,1395,752,,505
1225,3881,511,,930
1270,2089,634,,608
1221,2805,579,,735
1228,1050,335,,310
1230,700,165,,190
1226,1699,596,,519
1227,1172,182,,289
1245,2164,400,,553
1251,930,1221,,552
1162,2229,896,,715
1255,444,241,,161
1254,1047,401,,330
1253,1345,148,,313
1267,3681,453,,872
1256,6422,1859,,1842
1192,1970,555,,560
1252,4383,451,,1012
1257,2068,460,,552
1264,2684,719,,752
1268,3193,770,,870
1271,1775,380,,469
1276,3559,547,,876
1274,944,304,,280
1273,1275,147,,299
1272,474,420,,221
1258,1935,864,,646
1281,2421,895,,753
1285,2981,668,,797
1301,2645,1240,,901
1286,2054,476,,554
1292,1775,100,,385
1307,2440,257,,565
1287,1995,594,,577
1294,523,125,,142
1293,941,235,,259
1326,2476,545,,659
1289,2558,433,,642
1312,1514,621,,489
1320,1533,524,,464
1303,1350,402,,391
1304,1191,365,,348
1305,696,0,,139
1325,2336,548,,632
1308,2309,406,,584
1290,3115,847,,877
1288,2827,579,,739
1328,1700,317,,435
1337,1710,715,,556
1327,1428,266,,365
1302,4230,661,,1044
1332,3224,604,,826
1340,587,355,,224
1331,1739,331,,447
1330,3615,1201,,1083
1396,2972,896,,863
1338,2894,1448,,1013
1342,1776,719,,571
1341,1003,306,,292
