SN ID,SN ID (from Songs),SN ID (from Locations)
2516,1510,167
2516,2557,158
2516,2838,67
2516,3257,5
2517,3268,20
2517,3269,42
2517,3270,25
2517,3103,100
2517,1791,146
2520,2903,46
2520,1802,142
2520,3258,156
2515,2388,45
2515,2475,124
2515,1815,53
2515,1806,77
2515,2858,65
2513,3247,136
2513,3248,3
2513,761,62
2513,3249,111
2513,264,139
2513,2058,26
2513,3173,11
2535,3225,139
2535,3226,43
2535,3233,26
2535,3228,163
2535,3227,90
2510,1218,71
2510,2391,50
2511,2375,61
2511,2227,38
2512,1889,59
2512,2139,13
2508,494,91
2508,869,138
2508,3267,1
2508,3087,56
2292,3064,98
2292,3063,44
2292,2560,97
2292,3062,52
2368,3215,93
2368,1092,68
2368,493,18
2368,1120,100
2519,3054,89
2519,3240,37
2519,2252,8
2519,1257,58
2519,2052,87
2519,774,86
2666,74,163
2506,3262,79
2506,3253,155
2506,3259,62
2506,3254,53
2506,610,29
2506,3260,111
2502,3003,139
2502,1987,1
2502,2175,72
2502,3256,158
2502,2765,25
2502,2894,143
2502,3007,90
2502,2756,117
2502,1127,28
2344,1628,32
2344,3255,6
2344,3100,11
2344,477,104
2503,3244,13
2503,1618,55
2503,3245,127
2503,3246,103
2503,2429,41
2503,2315,123
2405,778,54
2405,1186,5
2406,3060,159
2406,1558,98
2408,1103,45
2408,3068,66
2407,474,17
2407,2754,74
2409,1713,73
2409,1035,67
2410,3069,13
2410,2186,90
2505,2670,105
2505,3224,69
2505,654,35
2505,1663,145
2504,1291,33
2504,921,160
2504,3235,56
2504,3234,78
2504,445,77
2378,323,80
2378,1417,146
2433,2117,31
2433,205,41
2347,2717,20
2347,1842,138
2500,1368,65
2500,817,64
2500,3212,140
2500,2197,90
2500,2382,32
2338,3229,60
2338,2020,158
2338,1293,139
2582,469,180
2499,3217,28
2499,3219,156
2499,3216,41
2499,3218,159
2499,3220,17
2498,2850,98
2498,1678,81
2498,1366,135
2498,848,34
2364,828,60
2364,2765,6
2364,2465,33
2364,1126,143
2497,3192,160
2497,2275,91
2497,1760,78
2497,3193,107
2497,2271,66
2497,509,62
2354,291,75
2354,2396,50
2354,856,123
2496,1248,146
2496,1383,100
2496,615,86
2496,613,136
2496,3211,145
2495,3213,98
2495,3214,90
2495,2439,2
2495,3263,108
2495,1523,139
2495,1525,18
2494,3230,67
2494,2350,59
2494,3231,64
2494,3232,167
2492,3206,139
2492,3204,42
2492,2201,101
2492,3207,17
2492,3205,62
2493,3223,156
2493,3210,54
2493,3209,40
2493,1626,66
2493,3221,110
2493,3208,146
2491,2747,73
2491,2190,106
2490,2021,16
2490,1709,127
2489,1456,32
2489,389,41
2428,2389,117
2428,2942,35
2428,2299,38
2419,3196,92
2419,160,27
2419,1713,59
2419,1714,161
2419,399,146
2427,3195,124
2427,882,34
2427,991,142
2427,2883,180
2427,2149,98
2424,3173,99
2424,2404,135
2424,1064,156
2424,885,11
2426,2917,53
2426,3197,40
2426,1180,3
2426,1293,26
2426,2658,139
2423,621,29
2423,2176,56
2423,410,68
2423,1145,58
2423,1160,2
2423,417,117
2422,3201,94
2422,1800,161
2422,1981,105
2422,3202,140
2422,1384,90
2422,3203,47
2422,636,52
2422,391,45
2389,3200,95
2389,2302,160
2389,1823,8
2389,3199,45
2389,1832,59
2389,1206,101
2418,472,28
2418,1674,44
2418,1624,81
2418,1137,136
2418,3171,68
2421,1677,97
2421,1749,70
2421,2371,18
2421,1515,80
2421,3085,118
2432,3191,62
2432,401,104
2432,1799,107
2432,3190,143
2432,1533,116
2432,1686,77
2329,3059,82
2329,1337,138
2329,2334,79
2329,3056,84
2416,1378,53
2416,1379,95
2417,1818,127
2417,1549,66
2415,1998,60
2415,2625,78
2413,3189,165
2413,2153,141
2413,2396,87
2413,1416,94
2413,1608,99
2412,2515,37
2412,3001,72
2412,3188,46
2572,775,161
2379,2901,6
2379,3142,48
2379,3141,123
2379,2949,65
2411,3187,73
2411,345,33
2411,2861,115
2411,3152,38
2401,2310,41
2401,2308,93
2401,1140,91
2425,3178,118
2425,3033,92
2425,2374,103
2425,2957,35
2425,860,101
2400,425,54
2400,1793,100
2400,863,67
2400,986,90
2400,1584,32
2400,1792,28
2395,3177,5
2395,3175,40
2395,3176,1
2395,1331,158
2395,3174,45
2397,2539,106
2397,1232,71
2397,3170,140
2397,609,79
2366,626,55
2366,3112,56
2366,3113,77
2366,843,44
2366,935,86
2366,523,89
2399,2269,8
2399,2697,116
2399,2370,27
2399,838,80
2396,3185,139
2396,599,38
2396,3184,11
2396,3183,52
2396,1816,32
2396,2920,101
2392,2956,2
2392,2015,143
2394,1985,180
2394,2333,55
2393,2453,70
2393,2758,18
2388,3167,66
2388,847,112
2388,311,81
2388,1749,27
2388,1677,105
2387,528,60
2387,3161,142
2387,2405,69
2387,2858,104
2565,1348,160
2391,879,48
2391,3016,34
2391,239,106
2391,1898,64
2386,1671,123
2386,1664,11
2386,2263,138
2386,3150,91
2386,2855,117
2383,801,105
2383,3182,61
2383,3181,135
2383,1395,107
2383,805,59
2384,1328,139
2384,3163,90
2384,2962,17
2385,3159,46
2385,3160,44
2385,3158,87
2380,1655,20
2380,3166,69
2380,3162,89
2380,3165,138
2380,3164,91
2381,3139,145
2381,3140,34
2381,406,146
2381,2452,65
2367,2377,67
2367,1509,101
2367,73,158
2367,2399,93
2367,2886,77
2367,1502,32
2300,3048,68
2300,2412,29
2300,3047,17
2300,3051,84
2300,3052,73
2322,3096,11
2322,3105,140
2322,3044,52
2322,3104,145
2322,3043,101
2377,2853,80
2377,2854,6
2376,2859,54
2376,1333,33
2333,294,103
2333,485,64
2370,3144,50
2370,1161,99
2370,3143,35
2372,3129,90
2372,3130,94
2372,3131,91
2372,3132,80
2564,1184,167
2429,298,8
2429,3168,47
2429,2218,62
2429,3011,27
2371,1249,20
2371,1735,13
2371,3138,100
2371,3137,41
2431,3147,52
2431,3149,8
2431,1867,45
2431,3148,107
2431,2126,161
2431,1125,78
2369,3157,139
2369,3155,38
2369,665,155
2369,967,116
2369,3154,160
2358,2356,124
2358,2300,46
2358,1815,98
2358,3117,143
2358,524,79
2373,3145,74
2373,1066,37
2373,3146,115
2373,366,16
2373,162,127
2330,613,104
2330,1185,3
2330,611,52
2398,3153,86
2398,3152,161
2398,2992,20
2398,2756,158
2398,2892,163
2398,2922,37
2402,761,118
2402,301,41
2402,532,180
2402,473,92
2402,1707,60
2403,482,62
2403,3321,55
2403,293,27
2403,294,38
2403,1991,52
2362,1816,78
2362,2425,68
2360,1630,156
2360,2600,136
2361,2535,92
2361,2085,47
2327,3036,67
2327,355,17
2327,2511,101
2327,2751,146
2238,1984,98
2238,3005,37
2238,1755,44
2238,3006,135
2563,1302,173
2328,3111,53
2328,1397,107
2328,3110,34
2328,482,58
2328,490,2
2351,3107,75
2351,2912,160
2351,3108,18
2356,1825,167
2356,3133,45
2356,3134,52
2356,3135,16
2356,3136,61
2331,2210,71
2331,1504,93
2331,1900,38
2382,1883,5
2382,1153,59
2382,1495,69
2382,1440,159
2382,2236,145
2355,476,165
2355,3114,87
2355,3115,95
2355,447,94
2365,3122,95
2365,2975,116
2365,3123,140
2365,1256,28
2353,1294,142
2353,2175,29
2353,272,155
2353,1987,48
2353,3109,117
2353,1293,65
2350,3127,32
2350,3120,42
2350,3125,51
2350,3126,90
2350,3103,62
2349,3120,108
2349,3119,1
2349,3121,58
2349,3118,59
2349,1979,161
2348,2764,91
2348,2771,93
2332,2532,45
2332,2533,62
2346,1964,127
2346,2927,156
2325,1900,67
2325,3032,66
2325,3031,146
2325,1208,17
2325,1036,139
2172,2880,64
2172,2808,145
2172,974,37
2179,2097,104
2179,2148,11
2179,207,53
2343,2183,107
2343,3089,68
2343,3090,110
2343,379,162
2343,2659,139
2468,1237,32
2341,869,108
2341,3088,159
2341,171,35
2341,3087,5
2341,1979,136
2357,329,113
2357,1902,70
2357,1933,77
2312,1251,138
2312,3067,48
2312,1896,82
2312,3066,45
2339,421,94
2339,3091,100
2339,2436,33
2339,3093,58
2339,3092,117
2286,2829,98
2286,1679,67
2286,1257,65
2337,239,161
2337,867,43
2337,353,25
2337,2457,42
2337,3103,79
2306,2456,108
2306,1572,159
2306,1632,34
2306,2752,59
2306,2557,158
2306,777,80
2306,2267,163
2306,1791,160
2306,1611,27
2306,2467,62
2306,2827,33
2306,2156,146
2314,3099,13
2314,3098,105
2314,473,92
2314,2060,141
2314,2613,112
2314,481,11
2301,322,86
2301,1041,103
2318,1887,20
2318,430,124
2317,2213,81
2317,1470,48
2315,1398,89
2315,273,158
2315,3046,1
2315,1127,25
2315,3050,90
2291,2171,55
2291,2552,46
2291,1708,2
2291,1227,145
2291,1601,79
2291,843,54
2313,2512,41
2313,1569,27
2313,3077,70
2313,3076,17
2466,1226,135
2342,3094,28
2342,3095,51
2342,2299,6
2342,2231,38
2342,527,56
2336,1115,44
2336,1132,2
2336,2546,77
2336,3101,99
2259,2999,8
2259,3000,59
2259,2677,69
2259,2054,34
2259,2055,158
2259,2422,60
2186,2878,98
2186,2879,67
2186,2877,146
2305,3075,93
2305,2092,161
2305,1788,73
2305,2094,146
2302,2464,60
2302,2465,155
2302,2765,91
2302,3049,32
2303,330,118
2303,1101,50
2303,509,138
2303,532,116
2303,3086,160
2363,3068,69
2363,3172,103
2363,987,180
2363,2138,41
2363,3180,50
2340,3080,143
2340,3079,158
2340,3078,69
2297,2670,28
2297,2854,37
2298,1657,80
2298,1659,47
2299,2547,38
2299,2009,64
2294,1503,94
2294,783,115
2294,1719,155
2294,1135,90
2294,3065,100
2239,2967,29
2239,2178,73
2239,2434,6
2239,2964,99
2239,2225,34
2239,2965,59
2304,3070,45
2304,1796,159
2304,1389,91
2304,3071,11
2465,1224,145
2295,3082,123
2295,3083,135
2295,297,47
2295,3084,87
2295,3085,118
2293,2139,127
2293,1889,18
2293,2563,83
2293,2138,101
2099,2344,5
2099,2198,112
2099,2865,66
2099,2866,111
2099,1704,16
2289,3054,89
2289,2956,78
2289,309,69
2289,3053,141
2289,3055,27
2288,687,54
2288,366,67
2288,371,123
2288,1850,58
2288,2233,2
2290,2228,52
2290,3033,16
2290,1080,41
2285,855,84
2285,3029,97
2285,1095,44
2285,1799,138
2285,2164,105
2285,170,8
2287,3061,34
2287,1871,140
2287,642,17
2287,1807,79
2287,2660,117
2169,2885,33
2169,2751,2
2169,2176,62
2283,2738,74
2283,1658,32
2281,2775,75
2281,870,77
2282,2784,95
2282,2558,100
2279,1441,115
2279,1175,48
2279,3012,113
2279,3013,33
2279,3014,86
2279,2426,45
2278,3027,159
2278,1924,161
2278,2804,90
2278,1084,72
2278,2855,79
2271,2984,56
2271,1862,108
2271,2853,46
2271,654,127
2271,2983,124
2270,3034,20
2270,2499,18
2270,2771,64
2464,1207,155
2321,1056,35
2321,367,99
2321,1378,91
2321,2912,138
2321,416,11
2321,688,62
2274,2587,87
2274,2267,117
2274,3042,146
2276,2369,50
2276,3015,161
2276,1903,135
2276,863,107
2276,2262,34
2275,2997,17
2275,237,2
2275,350,156
2275,1983,140
2275,2998,38
2275,1442,101
2272,1111,66
2272,2110,78
2272,3041,47
2320,2906,160
2320,2687,104
2320,730,6
2320,2565,55
2320,2869,145
2268,720,139
2268,3003,158
2268,3004,79
2268,1148,163
2268,1180,38
2269,1818,145
2269,1179,42
2269,1978,51
2269,350,56
2269,211,13
2266,1984,37
2266,2712,105
2267,2849,70
2267,2848,80
2265,2820,112
2265,2821,89
2253,1435,94
2253,2970,155
2253,1064,136
2253,2368,35
2253,2988,142
2253,1063,11
2249,2415,90
2249,2633,158
2249,1897,56
2249,1166,58
2249,2336,91
2258,3025,87
2258,3024,118
2258,1413,43
2258,3026,160
2261,3018,100
2261,3022,16
2261,3021,91
2261,3019,143
2261,3020,53
2261,1789,60
2319,74,156
2263,3016,92
2263,2753,59
2263,1031,5
2263,2919,141
2263,2837,115
2263,945,48
2263,2210,62
2263,1790,32
2254,2994,67
2254,2156,116
2254,2766,69
2254,2106,65
2236,2991,17
2236,2865,93
2236,2993,73
2236,3002,108
2256,2985,117
2256,2546,138
2256,2973,127
2256,2632,6
2246,2963,33
2246,1713,41
2246,2557,158
2246,2962,47
2273,1666,95
2273,601,99
2273,606,123
2273,1108,8
2273,2989,34
2323,3009,104
2323,2992,58
2323,1185,101
2323,3007,71
2323,1711,68
2323,3008,106
2257,2144,27
2257,989,84
2257,428,13
2257,2978,82
2257,2979,44
2257,2193,18
2257,909,86
2251,2151,20
2251,2720,146
2252,2301,45
2252,2695,8
2158,2833,79
2158,2850,2
2277,1617,71
2277,288,100
2277,389,25
2277,1918,117
2277,2770,77
2262,1901,29
2262,2475,124
2262,2996,28
2262,2389,54
2308,469,89
2255,3010,123
2255,1816,161
2255,2920,32
2255,3011,17
2248,778,145
2248,2449,40
2248,2972,56
2070,2744,74
2070,377,51
2070,2776,55
2070,1342,92
2241,2960,69
2241,2961,93
2241,1393,61
2241,1395,64
2240,2959,107
2240,2957,41
2240,1991,75
2240,482,65
2242,3128,97
2242,276,116
2242,2930,143
2242,2958,34
2242,2562,113
2242,2138,90
2237,2830,91
2237,2717,80
2237,2976,78
2237,2975,58
2237,2977,107
2243,3001,62
2243,1685,123
2243,1715,50
2243,1256,81
2243,2332,46
2243,1387,38
2260,2012,136
2260,2982,79
2260,2869,54
2260,2484,139
2250,1261,11
2250,2986,26
2250,2987,158
2250,2499,42
2250,1504,67
2223,2579,124
2223,604,106
2224,2441,71
2224,928,18
2235,2405,156
2235,523,117
2114,693,28
2114,2864,37
2114,1366,81
2114,313,140
2114,2860,17
2228,2603,111
2228,2097,105
2228,2149,112
2228,2548,48
2221,2953,46
2221,2491,86
2221,1132,60
2221,2951,32
2221,1313,155
2221,1970,77
2221,1795,98
2221,2949,139
2221,280,20
2221,2952,89
2221,2948,69
2221,807,66
2221,1205,8
2233,775,72
2227,2327,47
2227,2464,2
2227,2765,45
2227,1791,79
1715,897,55
1715,657,103
1715,1664,88
1715,1862,107
1715,1418,91
2220,2955,136
2220,783,142
2220,1084,38
2217,2713,65
2217,2936,11
2217,1686,145
2217,2928,54
2218,915,143
2218,2938,62
2218,2939,41
2218,2940,146
2216,2710,13
2216,2932,6
2216,2935,55
2216,2933,27
2215,2757,90
2215,2956,70
2215,774,135
2215,2015,108
2215,1675,47
2214,603,52
2214,324,145
2214,316,123
2214,420,127
2214,542,116
2214,264,67
2192,1815,46
2192,2945,3
2192,2858,53
2188,2637,140
2188,2638,2
2194,1291,73
2194,1746,101
2182,2628,58
2182,1911,16
2196,2924,78
2196,2925,51
2196,2923,138
2196,1235,113
2196,1584,68
2196,1665,34
2181,2580,18
2181,1001,50
2181,727,105
2181,2954,45
2225,1348,103
2184,2943,124
2184,2941,117
2184,2475,110
2184,2944,43
2184,2942,112
2184,2388,38
2187,2926,41
2187,1320,139
2187,2927,54
2190,1606,156
2190,1695,28
2190,964,87
2190,2937,52
2190,668,32
2205,399,2
2205,2911,64
2205,2912,123
2180,602,45
2180,481,11
2180,2920,17
2195,2838,66
2195,1126,8
2195,2399,77
2195,2919,158
2195,2837,59
2183,1170,13
2183,2889,143
2183,1165,92
2183,2890,62
2183,2222,104
2183,1626,136
2178,2875,116
2178,2873,27
2178,2874,108
2193,1651,139
2193,2922,1
2193,2553,38
2193,1611,67
2193,2921,79
2189,2917,84
2189,1652,72
2189,2835,110
2189,1636,90
2189,2918,97
2177,2669,37
2177,324,135
2185,2555,71
2185,1389,111
2191,206,127
2191,2400,123
2166,493,20
2166,2913,82
2166,2914,45
2171,2899,140
2171,1250,48
2171,638,47
2171,2900,32
2171,2449,117
2171,1382,90
2098,892,108
2098,1338,91
2098,2882,107
2098,2881,84
2098,880,35
2098,2883,138
2204,2916,80
2204,2915,6
2204,1000,89
2208,1184,44
2174,407,54
2174,109,8
2174,2887,56
2174,2888,69
2174,781,77
2174,917,52
2118,2859,95
2118,1333,5
2118,2696,59
2164,906,105
2164,1985,90
2164,2872,86
2164,2333,11
2164,158,41
2165,2891,67
2165,2267,101
2165,2893,60
2173,2946,62
2173,2947,70
2173,2533,27
2173,1691,155
2168,2903,124
2168,934,75
2168,162,58
2168,2904,142
2168,2233,53
2168,2905,139
2104,2836,80
2104,580,28
2104,954,100
2104,2804,17
2110,2326,54
2110,1071,55
2110,2229,89
2110,2313,146
2122,1766,145
2122,2420,20
2170,2452,13
2170,2451,117
2167,2607,2
2167,2119,33
2101,511,106
2101,2839,78
2101,2840,111
2101,2841,93
2101,509,69
2116,2155,101
2116,1818,25
2116,2892,143
2117,2906,38
2117,606,87
2117,1888,44
2117,2907,65
2209,1302,79
2050,2716,105
2050,986,8
2050,2369,27
2050,2715,135
2100,2825,155
2100,2826,18
2100,2827,32
2175,2897,69
2175,339,51
2175,1105,91
2175,2896,66
2175,2165,52
2112,2876,6
2112,2869,48
2112,2868,8
2112,2484,135
2112,2146,56
2112,2593,67
2113,2870,156
2113,2871,143
2113,1652,140
2113,206,90
2113,1084,46
2113,2660,60
2113,2400,139
2201,2908,45
2201,2902,103
2201,2577,127
2201,2901,142
2201,1128,27
2201,1956,92
2201,1957,58
2120,2862,71
2120,2861,112
2120,2863,62
2202,2910,74
2202,1966,2
2202,1043,94
2202,1678,18
2071,2748,73
2071,2157,118
2071,2746,59
2071,1777,47
2071,2747,67
2071,2190,101
2108,260,68
2108,2203,71
2106,882,145
2106,2480,136
2107,2332,111
2107,2688,46
2087,2809,84
2087,2531,82
2087,2200,116
2087,1904,107
2119,2356,91
2119,885,58
2119,519,135
2119,2323,104
2119,2909,108
2097,2853,75
2097,2670,66
2097,2854,20
2097,2855,146
2210,1237,29
2203,1115,115
2203,1978,155
2203,2895,93
2203,1542,95
2203,1124,92
2065,2779,108
2065,2032,91
2065,2791,138
2065,491,32
2065,2778,52
2066,2658,69
2066,2311,78
2066,329,97
2066,1871,55
2066,205,89
2111,2325,117
2111,2857,11
2111,2405,98
2111,1811,53
2111,2858,54
2094,1537,29
2094,1887,47
2094,1108,8
2094,2822,80
2094,1889,105
2094,430,124
2069,2732,123
2069,2733,72
2069,2731,104
2069,2730,103
2102,2500,50
2102,2838,70
2102,2837,118
2102,1713,59
2061,2756,79
2061,2753,47
2061,2755,56
2061,1633,42
2061,2754,158
2061,1718,139
2062,2750,90
2062,2752,69
2062,549,25
2062,2756,26
2062,2749,54
2062,2751,41
2091,2215,92
2091,2462,33
2090,318,95
2090,2501,112
2092,2301,38
2092,1206,52
2086,2116,64
2086,2818,60
2086,2819,65
2088,348,140
2088,2063,46
2088,468,136
2088,2810,117
2088,2811,6
2200,2898,77
2200,1628,72
2200,1625,20
2200,418,48
2200,263,16
2200,1368,67
2156,1226,53
2078,2808,145
2078,2807,98
2078,2806,50
2078,260,143
2078,1539,146
2029,2764,54
2029,2765,91
2029,2465,42
2029,2766,17
2029,2771,25
2029,2770,32
2085,1760,70
2085,1493,80
2085,2272,87
2085,2824,44
2085,2823,27
2083,472,69
2083,2797,41
2083,2798,53
2083,2799,143
2083,2800,90
2084,2834,79
2084,2820,117
2084,2821,46
2081,2802,112
2081,2801,32
2081,2562,98
2080,2377,86
2080,2814,75
2080,916,64
2080,2817,65
2080,566,84
2080,2815,55
2080,1145,62
2080,1293,139
2080,1350,42
2080,2816,5
2080,1586,45
2080,1794,27
2080,2813,71
2080,1800,101
2080,2054,17
2080,1893,52
2080,2676,67
2080,1206,38
2082,2794,99
2082,2795,34
2082,2208,73
2082,2209,18
2082,1140,118
2082,2796,93
2052,2717,155
2052,2298,81
2052,1842,140
2052,1691,90
2109,1881,33
